,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
394,"1,599 ",1,1,700,Yes,"2360 Pacific St,                  ",Brooklyn,NY,11233
395,"2,200 ",1,1,700,Yes,"305 Cooper St,                  ",Brooklyn,NY,11237
396,"2,999 ",3,1,700,No,"252 Skillman Ave,                  ",Brooklyn,NY,11211
397,"2,600 ",3,2,"2,186",No,"49-09 67th St # 2FL,                  ",Woodside,NY,11377
398,"3,300 ",2,1,900,No,"212-17 42nd Ave Apt 1A,                  ",Bayside,NY,11361
400,"35,000 ",3,4,"2,907",Yes,"1085 Park Ave # #pha,                  ",New York,NY,10128
401,"3,150 ",3,1,800,Yes,"170 New York Ave,                  ",Crown Heights,NY,11216
402,"2,800 ",2,1,950,No,"207 E 120th St,                  ",New York,NY,10035
403,"2,075 ",1,1,"1,100",Yes,"65 Waverly Ave Apt 1,                  ",Brooklyn,NY,11205
404,"1,910 ",0,1,450,Yes,"531 E 78th St Apt 1B,                  ",New York,NY,10075
405,"2,350 ",1,1,325,Yes,"153 Avenue A,                  ",New York,NY,10009
407,"2,650 ",3,1,800,Yes,"1629 St Johns Pl # Fee,                  ",Brooklyn,NY,11233
408,"3,575 ",2,2,750,Yes,"495 St Johns Pl,                  ",Brooklyn,NY,11238
409,"4,695 ",2,2,950,Yes,"529 E 6th St Apt 2B,                  ",New York,NY,10009
410,"1,400 ",0,1,500,No,"1370 Virginia Ave,                  ",Bronx,NY,10462
411,"1,800 ",2,1,"1,000",No,"316 St Johns Ave,                  ",Staten Island,NY,10305
412,"1,900 ",1,1,500,No,"43 Henry St,                  ",New York,NY,10002
413,"3,049 ",2,1,650,No,"123 W 106th St Apt 1B,                  ",New York,NY,10025
414,"2,500 ",2,1,850,No,"30-90 33rd St Apt 2FF,                  ",Astoria,NY,11102
415,"25,000 ",3,4,"3,500",No,"985 5th Ave # B,                  ",New York,NY,10075
416,"3,158 ",1,1,600,Yes,"42-20 24th St Apt 40A,                  ",Queens,NY,11101
417,"1,950 ",1,1,750,Yes,"76-66 Austin St # 1,                  ",Forest Hills,NY,11375
418,"1,500 ",1,1,650,No,"103-25 121st St,                  ",Richmond Hill,NY,11419
419,"1,750 ",0,1,500,No,"135-20 82nd Ave,                  ",Briarwood,NY,11435
420,"2,095 ",2,1,850,Yes,"570 W 189th St Apt 2B,                  ",New York,NY,10040
421,"2,095 ",2,1,850,Yes,"601 W 188th St,                  ",New York,NY,10040
423,"1,950 ",1,1,700,Yes,"142-02 84th Dr,                  ",Jamaica,NY,11435
424,"4,594 ",2,1,800,Yes,"50 N 5th St # 4RE,                  ",Nyc,NY,11249
425,"1,900 ",2,1,900,No,"914 Pine St,                  ",Brooklyn,NY,11208
426,"2,950 ",4,1,"1,150",No,"85-01 87th St Apt 2,                  ",Woodhaven,NY,11421
427,"4,395 ",2,1,750,Yes,"635 E 6th St Apt 1E,                  ",New York,NY,10009
428,"1,625 ",1,1,600,No,"82-83 Brevoort St,                  ",Kew Gardens,NY,11415
430,"2,695 ",2,1,800,No,"30-90 33rd Ff St Apt 2,                  ",Astoria,NY,11102
431,"2,000 ",2,1,800,No,"36-41 169th St Apt 3E,                  ",Flushing,NY,11358
432,"1,754 ",0,1,500,Yes,"800 St Marks Ave # C3J,                  ",Brooklyn,NY,11213
433,"1,500 ",0,1,500,No,"82-60 116th St,                  ",Richmond Hill,NY,11418
434,"1,575 ",1,1,750,No,"13439 Blossom Ave Apt 4F,                  ",Flushing,NY,11355
435,"2,450 ",0,1,450,No,"330 W 55th St Apt 6D,                  ",New York,NY,10019
436,800 ,4,1,"1,250",No,"7116 66th Dr,                  ",Middle Village,NY,11379
437,"1,800 ",1,1,600,Yes,"72-21 153rd St,                  ",Flushing,NY,11367
438,"1,999 ",0,1,700,No,"1142 Lafayette Ave,                  ",Brooklyn,NY,11221
439,"14,250 ",2,2,"1,450",Yes,"800 5th Ave Apt 10D,                  ",New York,NY,10065
440,"4,000 ",2,1,700,Yes,"46-04 Vernon Blvd # 3D,                  ",Queens,NY,11101
441,"2,200 ",1,1,700,Yes,"80 Clarkson Ave,                  ",Brooklyn,NY,11226
442,"2,400 ",1,1,750,Yes,"615 President St,                  ",Brooklyn,NY,11215
